Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Spark/Big Data Engineer,-1,Data Engineer,"The Data Consumption team of Data Security & Infrastructure (DSI) is seeking a highly motivated Spark / Big Data Developer to start or continue an IT career on the Big Data Platform project. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on the Big Data Platform accessible for the needs of the organization through Atomic Models and Analytical Data Stores. In this role, you will coordinate with a variety of IT departments to elicit and translate high level business requirements into detailed system requirements. You will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.
Basic Qualifications:
5+ years’ experience with Relational Database Systems and SQL",GEICO,3.5,"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
Data Engineering Technical Supervisor,-1,Technical Manager,"If you love data, the Data Engineering team has the perfect job for you! Our team is looking for a hands-on Data Engineering Technical Supervisor to be part of a dynamic, high performing team in charge of Data Architecture, Data Ingestion and Data Engineering. This team is performing a key role in the renewed effort to make GEICO a Data First company by bringing raw data into the platform and building a refined data layer to be used by the business community and Data Scientists. You will be working with cutting edge technologies such as Azure Data Lake, Databricks/Spark, Snowflake. Applicants need to have strong leadership experience, drive to succeed and ability to manage multiple critical projects.
Key Responsibilities:
Oversee multiple scrum teams delivering data products to the business
Work closely with the data consumers to understand and prioritize requests for data",GEICO,3.5,"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
"Data Scientist, LiveRamp Safe Haven",$140K - $150K (Employer est.),Data Scientist,"Data Scientist, LiveRamp Safe Haven
LiveRamp is the leading data connectivity platform. We are committed to connecting the world's data safely and effectively, advancing innovation, and empowering people to do good. Our platform powers customer experiences centered around the needs and concerns of real people, keeping the Internet open for all. We enable individuals around the world to connect with the brands and products they love. LiveRampers thrive on solving challenging problems for the good of humanity—and we're always looking for smart, kind, and creative people to help us get there.
Mission: LiveRamp makes it safe and easy for businesses to use data effectively.
LiveRamp is currently ramping up its Safe Haven business in the U.S. and is in need of skilled data scientists who can tell our customers a story with their data. You'll work directly with our largest and most complex clients' datasets and data teams to help them derive value from the newly unlocked potential that Safe Haven provides them. In this capacity you will work with vast amounts of data ranging from retail transaction data to online exposure data and you'll help our customers see the trends and paint a picture of what it all means.",LiveRamp,4.3,"San Francisco, CA",1001 to 5000 Employees,2005,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Data Scientist,$46K - $120K (Glassdoor est.),Data Scientist,"Lead, collaborate and join integrated teams that apply advanced methods, theories, and research techniques in the investigation and solution development of complex data analysis problems. As a data scientist, you will help teams’ advance complex analysis, design, development, and testing of scalable end-to-end data pipelines from prototype to production, that include data analysis, visualization, and machine learning. At Fortego, you will embark on a journey of exciting, impactful & highly technical work with good people that treat you like family.

If that sounds like you, and you’ve got the skills and qualifications listed below with a TS/SCI with a Polygraph, we encourage you to apply.
We are looking for junior, mid-level or senior-level data scientists with the following:
Demonstrated software development experience with Python in a Unix environment.",Fortego,5.0,"Columbia, MD",51 to 200 Employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Analyst,$33K - $59K (Glassdoor est.),Data Analyst,"divvyDOSE is a new kind of home-delivery pharmacy in a hyper-growth phase focused on adherence packaging.

Our company is professional but fun, dedicated yet quirky. We are fast-paced, highly-motivated doctors, pharmacists, pharmacy technicians, and support staff who focus on health and wellness (and if we’re being honest, sometimes pizza) and most of us have slight obsessions with our pets. We want to make a difference in the lives of our customers by treating them like friends and family. We offer a work-hard, play-hard environment with competitive pay and a comprehensive benefit plan.

Vision/Mission

Our vision is to fix and reimagine healthcare for everyone. Our mission is to engage customers by fixing all the problems around getting and taking their medications. We've taken the first step by simplifying adherence.

We’re now part of Optum and the UnitedHealth Group family of businesses, backed by the resources of a global health organization working to help people live healthier lives and to help make the health system work better for everyone. Are you looking for a way to create next-level results with a human-level approach? Then look at opportunities with divvyDOSE, where changing the world is just one result of doing your life’s best work.SM

About the job:

Our data operations team is the pharmacy support system for our customers - we help them transition to divvyDOSE, manage their prescriptions, answer their questions, and coordinate care with their health team. This work is coordinated across pharmacists, technicians, and customer support staff to ensure we provide the best care for our customers. Among other things, we transfer prescriptions to and from other pharmacies, contact medical care providers to understand treatments and request prescription refills and answer inbound questions from our customers.



Your goal is to help the operation run more effectively and efficiently through data analysis, reporting, dash-boarding, and special projects. You will help us build context through better reporting and drive the business forward by providing data-driven recommendations on ways to improve efficiency and optimize our operation. On any given day you might be presenting to our executive team, doing a deep dive on call analytics, or working with a small team to prototype and test new processes.
Data Analyst

Full-time

Exempt



In addition to competitive salary and a unique opportunity to thrive at a growing company, divvyDOSE offers various formal benefits as well.



Full-time employees receive Sick days, Vacation days, and Holiday Bonuses as well as employer-paid Medical (including a Health Savings Account with an employer contribution), Dental, Vision, and Life insurance. In addition, we're proud to offer Voluntary Life & AD&D, Short Term Disability, and Long Term Disability coverage. A 401k plan with employer contribution is available, too.



In our company description, you can tell the divvyTEAM likes to have fun. Regular potlucks, company events, pizza days, wellness challenges, and divvyNEWS You Can Use updates maintain our work-hard play-hard culture.",divvyDOSE,4.0,"Moline, IL",201 to 500 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Visualization Scientist,$79K - $136K (Glassdoor est.),Data Modeler,"Are you passionate about using data visualizations for understanding and solving complex and interesting problems?Have you worked with cutting-edge visualization frameworks to make data science/analytics findings relevant for technical and non-technical users?Do you value working in a creative and collaborative environment?If so, we are looking for someone like you to join our team!The Large-Scale Analytics Group (QAS) develops end-to-end systems that incorporate descriptive, predictive, and prescriptive analytics on different platforms. We utilize visual analytics to find information hidden deep within large and complex data sets. In QAS, we use visualizations to: Represent data and help our U.S. government partners easily understand their data.
Uncover trends, changes, patterns, and anomalies in voluminous data sets.
Embed in reports and presentations that are used to clearly communicate our data stories and analytic results.
We are seeking data scientists who can apply data visualization standards, research new data visualization approaches, and employ various data visualization technologies and techniques. Your contributions to our team of data scientists, engineers, mathematicians, and computer scientists will help transform data into the knowledge that will enable decision-makers to make informed choices in defense of the nation. You will join a hardworking team in an inclusive environment that values intellectual curiosity, innovation and creativity.As a Data Visualization Scientist you will...


Why work at APL?The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation's most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at www.jhuapl.edu/careers.",Johns Hopkins Applied Physics Laboratory (APL),4.7,"Laurel, MD",5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
Interchange Data Analyst,-1,Data Analyst,"What You'll Do:
As the Interchange Data Analyst, you will support our Payment Programs. You will be involved in the daily process by which credit card payments flow through the Billtrust platform and are paid-out to customers. You will provide support to both internal and external customers related to our Payment Programs.

Overall ownership of Interchange Optimization for our Payment Programs
Recommend improvements, development of new applications, etc. to effectively monitor customer's interchange qualifications
Monitor Interchange Qualifications to ensure customers are qualifying at the best available interchange rates.",Billtrust,4.4,New Jersey,501 to 1000 Employees,2001,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Sr. Data Scientist,$94K - $150K (Glassdoor est.),Data Scientist,"Sr. Data Scientist -INF0001YE
Description

Analytics Sr. Consultant – Sr. Data Scientist – R&D
Description
Headquartered in the heart of downtown Chicago, CNA is a leading commercial and specialty insurer, offering a diverse range of insurance products including Workers Compensation, Property, General Liability, Professional Liability, Cyber Insurance, Surety, and Warranty. We are one of the world leaders in underwriting non-medical professionals, from lawyers and accountants to architects and management consultants.
What CNA offers",CNA Insurance,3.6,"Chicago, IL",1001 to 5000 Employees,1897,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Data Analyst,$42K - $77K (Glassdoor est.),Data Analyst,"The Data Analyst will be responsible for the integrity and accuracy of customer usage and financial data related to the Unlimited subscription plan. He/She will also hold primary responsibility for analyzing and deriving actionable insights from customer data.
Primary Responsibilities
Own historical subscription plan membership and usage database – ensure all data is complete, clean and accurate
Become expert on point of sale revenue and usage mapping
Identify data gaps, find data sources to fill these gaps, and make recommendations for additions to our data environment
Design, implement and maintain reporting dashboards and KPIs with emphasis on automation
Create decision support tools and analysis related to pricing initiatives and program changes","Crew Carwash, Inc.",4.8,"Indianapolis, IN",501 to 1000 Employees,1948,Company - Private,Other Retail Stores,Retail,$50 to $100 million (USD)
Data Analyst,$41K - $74K (Glassdoor est.),Data Analyst,"Grade Level 10

GeoBlue is the trading name for the international health insurance programs of Worldwide Insurance Services, an independent licensee of the Blue Cross and Blue Shield Association. For the past 20 years, GeoBlue has been dedicated to simplifying the international healthcare experience for the globally mobile. GeoBlue members have access to the Blue Cross Blue Shield network in the U.S. and our hand-picked network of high-quality medical providers outside the U.S. where we collaborate closely with our largest single shareholder, Bupa, one of the largest healthcare companies on the planet outside the US. Coupled with leading-edge technology and 24/7 multilingual world-class medical assistance, GeoBlue provides members with the confidence and peace of mind to carry out their international aspirations. GeoBlue offers a range of solutions, covering the needs of the globally mobile for short trips and long-term assignments including group, individual and student international health insurance plans.

We are looking for a Data Analyst who can use a combination of data interpretation, analysis, and management techniques to turn data into information, information into insights, and insights into business decisions.



Reporting:
Analytics:
Data Management:
Innovation:
Other duties as assigned.

We offer competitive benefits including medical, dental, life insurance, 401(k), PTO, and more.

EOE/M/F/Vets/Disabled

If you prefer to mail your resume you can send it to:",GeoBlue,3.4,"King of Prussia, PA",201 to 500 Employees,1997,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
R&D Scientist I,-1,Research Engineer,"23 Mill Brook Road
Saco, Maine 04072
Fax: 207-885-1079 www.mmqci.com
_MAINE MOLECULAR QUALITY CONTROLS, INC. is HIRING!! _
_ _
R & D Scientist I – MOLECULAR DIAGNOSTICS
Maine Molecular Quality Controls, Inc. (MMQCI) designs, develops, manufactures, and markets unique quality control products used by hospital laboratories to monitor the accuracy of tests for inherited disease, pharmacogenetics, oncology, and infectious diseases. MMQCI also provides custom products to IVD manufacturers for test development, internal QC and kit controls. MMQCI has developed technologies to stabilize DNA and RNA for use as quality controls and continues to pursue the discovery of novel techniques useful for the development of new quality control products. We are a small, growing company that offers a relaxed but challenging work environment with opportunities to gain experience using the latest molecular biology tools.","Maine Molecular Quality Controls, Inc",1.0,"Saco, ME",1 to 50 Employees,-1,Company - Private,-1,-1,$1 to $5 million (USD)
Data Analyst,-1,Data Analyst,"Human IVF and infertility lab has a data analyst position open for an individual with strong analytical and technical skills.
This position will work with researchers, physicians, embryologists, and other staff in our Waltham location. No infertility experience is required and the individual will be trained on all aspects of human IVF. The successful candidate will be detail-oriented, proficient in Microsoft Office (Excel, Word) and have experience working with relational databases.
Requirements include but are not limited to:
Must be proficient in Microsoft Office – this includes but is not limited to Word, Excel, PowerPoint
Experience working with charts and Pivot Tables",Boston IVF,2.9,"Waltham, MA",201 to 500 Employees,1986,Company - Private,Research & Development,Business Services,$25 to $50 million (USD)
Data Scientist,$73K - $118K (Glassdoor est.),Data Scientist,"Blucora has a bold aspiration: we are committed to giving all people the tools needed to lead healthy financial lives - tools often reserved for the wealthy.

We now turn to the next leg, developing the technological tools that make our vision of financial health for all a reality. Atypical for the financial services industry, we take a contemporary approach to strategy and product development that is founded in user insights, rapid testing and a singular focus on driving end-user value.

Since charting new territory on a daily basis is part of everyone's job at Blucora, we've attracted team members who thrive on the challenge, encourage each other, and are passionately committed to the goal. If you agree that problem- solving is a team sport, and feel energized by a good debate, deep dive research, or a fun night out with colleagues, we might be the right firm for you!



Blucora, the parent company to Avantax Wealth Management, Avantax Planning Partners, and TaxAct, is seeking a that will be responsible for providing data, analysis, statistical modeling, and machine learning capabilities to inform key business initiatives. This role will deliver models to optimize marketing spend, create personalized engagement, and drive customer retention across both our tax preparation and wealth management businesses.





We offer a competitive salary, outstanding benefits package that includes medical, dental, vision, life insurance, paid vacation and sick days, paid holidays, tuition reimbursement, and 401(k) with company match.

#Blucora

At Blucora, we believe our work benefits from the diverse perspectives of our employees. As such, Blucora welcomes and celebrates diversity and inclusion and is committed to equal opportunity employment. At Blucora, you can expect a supportive, open and inclusive atmosphere and a team that values your contributions.

Blucora, Inc. and its subsidiaries, Avantax Wealth Management, Avantax Planning Partners (formerly HK Financial Services), and TaxAct are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants without regard to race, color, religion, sex, national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, veteran status, and any other status protected under federal or state law. Blucora, considers information gathered in the hiring process, including information on this application, confidential, and only shares it on a need-to know basis or as required by law. If you need assistance or an accommodation due to a disability, you may contact us at HR@Blucora.com or by calling 972-870-6000 to speak with a member of the HR Talent Acquisition team.",Blucora,3.6,"Dallas, TX",501 to 1000 Employees,1996,Company - Public,Financial Transaction Processing,Finance,$500 million to $1 billion (USD)
Data Scientist,-1,Data Scientist,"POSITION SUMMARY:

The Data Scientist is a highly motivated and experienced individual who likes to work in a multi-disciplinary team. The Data Scientist will be instrumental in the analysis and interpretation of high-throughput molecular data. Additionally, the individual in this role should have solid Data Science background and be strongly goal-oriented with a focus on real-world impact.

ESSENTIAL DUTIES AND RESPONSIBILITIES:
Statistical and bioinformatics analyses of high-throughput molecular data
Interaction with internal and external collaborators to understand, design, and develop the requested solutions
Development and execution of data analysis protocols to support the company's discovery pipeline",Berg Health,4.7,"Framingham, MA",51 to 200 Employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD)
Sr. Scientist/Scientist Computational Chemistry,$113K - $137K (Glassdoor est.),Research Scientist,"Within every human cell, nature has engineered finely-tuned control mechanisms to correct imbalances caused by stress and disease and promote healing.At HotSpot Therapeutics, nature is inspiring us to create a wave of new medicines.
Through a proprietary technology platform, we are uncovering privileged allosteric sites used by nature to control proteins – called regulatory hotspots- that can be exploited through small molecule drug discovery. Regulatory hotspots are allowing sought-after targets to be drugged for the first time while delivering molecules with exquisite selectivity and attractive drug-like properties.
HotSpot is supported by a syndicate of leading healthcare investors based in the US and Europe.
You will be joining a seasoned team of drug hunters with an excellent track record in drug discovery. As a HotSpotter, you are comfortable thinking outside the box and breaking convention. You are curious about the world and contribute beyond your precise role description. You are action orientated and extraordinary at getting things done. You communicate openly with your colleagues and you hate office politics.",HotSpot Therapeutics,-1,"Boston, MA",Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD)
Staff Data Scientist,$101K - $161K (Glassdoor est.),Data Scientist,"Alteryx is searching for a Staff Data Scientist in our Boston office.
We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
Alteryx Innovation Labs
The Innovation Labs office, Alteryx's first office presence in Boston, was started earlier this year by the acquisition of MIT-spinout Feature Labs . This rapidly growing team combines the excitement of being part of a fast-paced, innovative startup with the resources, market penetration, and wisdom of a data analytics market leader. Our goal is to turbo-charge machine learning and data science efforts on the Alteryx platform, and to enable anyone to solve dynamic problems. We are working on high-impact, high-visibility projects, and we’re looking for collaborative and knowledge-hungry teammates who want to join us as we work to democratize machine learning.","Alteryx, Inc.",3.6,"Boston, MA",1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Engineer,$65K - $121K (Glassdoor est.),Data Engineer,"McCarthy Building Companies, Inc. is one of America's premier commercial construction companies. Our reputation for tackling the toughest building challenges starts with our focus on building high-performing teams that collaborate with clients and industry partners starting in the earliest stages of design, throughout construction and beyond project completion. With offices and employees nationwide, we specialize in a wide range of project types including healthcare, education, renewable energy, marine, water/wastewater, commercial office and retail, hospitality/entertainment and airports. Originally founded as a family business in 1864, today we are proud to be 100 percent employee owned.

McCarthy is seeking a full-time Azure Data Engineer located in St. Louis, MO who, as part of the Business Intelligence team, will be responsible to deliver end-to-end data pipelines and repositories leveraging both traditional tools and practices as well as modern consumption and delivery models to support a growing Business Intelligence practice.",McCarthy Building Co,4.5,"Saint Louis, MO",1001 to 5000 Employees,1864,Company - Private,Construction,"Construction, Repair & Maintenance",$2 to $5 billion (USD)
